199	13
198	16
197	15
196	13
195	13
194	16
193	13
192	13
191	14
190	13
189	14
188	14
187	13
186	13
185	13
184	13
183	14
182	13
181	13
180	13
179	12
178	13
177	12
176	13
175	12
174	12
173	14
172	12
171	12
170	13
169	13
168	13
167	12
166	12
165	14
164	14
163	12
162	13
161	12
160	13
159	12
158	13
157	14
156	13
155	12
154	12
153	14
152	13
151	12
150	13
149	13
148	13
147	12
146	12
145	12
144	13
143	12
142	12
141	13
140	13
139	12
138	14
137	12
136	13
135	12
134	15
133	12
132	12
131	15
130	11
129	12
128	13
127	12
126	11
125	12
124	14
123	11
122	11
121	13
120	12
119	12
118	13
117	12
116	12
115	14
114	13
113	13
112	14
111	12
110	13
109	12
108	14
107	12
106	11
105	14
104	12
103	12
102	12
101	12
100	12
99	12
98	12
97	11
96	13
95	12
94	12
93	11
92	13
91	11
90	11
89	13
88	12
87	13
86	11
85	11
84	12
83	11
82	13
81	12
80	11
79	13
78	13
77	11
76	10
75	12
74	12
73	11
72	11
71	11
70	11
69	12
68	12
67	11
66	11
65	10
64	10
63	12
62	12
61	11
60	11
59	10
58	11
57	11
56	11
55	13
54	10
53	10
52	12
51	11
50	10
49	10
48	11
47	10
46	10
45	11
44	12
43	12
42	11
41	12
40	10
39	10
38	10
37	10
36	9
35	10
34	10
33	11
32	9
31	10
30	10
29	10
28	9
27	9
26	11
25	9
24	10
23	8
22	9
21	10
20	9
19	8
18	10
17	10
16	9
15	10
14	7
13	10
12	8
11	7
10	9
9	8
8	8
7	7
6	7
5	5
4	6
3	4
2	2
1	1
0	0
