199	1
198	2
197	2
196	4
195	1
194	1
193	6
192	13
191	2
190	1
189	2
188	4
187	9
186	19
185	12
184	4
183	1
182	1
181	19
180	1
179	12
178	7
177	8
176	2
175	3
174	3
173	3
172	16
171	4
170	1
169	2
168	1
167	1
166	3
165	1
164	2
163	6
162	1
161	7
160	12
159	7
158	3
157	2
156	1
155	2
154	10
153	4
152	7
151	1
150	6
149	7
148	1
147	3
146	3
145	1
144	4
143	5
142	2
141	4
140	11
139	2
138	6
137	2
136	4
135	1
134	2
133	10
132	5
131	3
130	1
129	2
128	2
127	8
126	1
125	3
124	27
123	3
122	11
121	1
120	4
119	6
118	2
117	6
116	4
115	4
114	7
113	1
112	3
111	5
110	2
109	1
108	1
107	3
106	4
105	17
104	4
103	13
102	4
101	1
100	7
99	11
98	3
97	1
96	3
95	1
94	2
93	1
92	1
91	6
90	2
89	1
88	9
87	2
86	4
85	1
84	9
83	6
82	8
81	3
80	3
79	3
78	2
77	4
76	2
75	5
74	4
73	2
72	2
71	1
70	2
69	6
68	4
67	5
66	1
65	2
64	13
63	2
62	8
61	3
60	5
59	1
58	3
57	14
56	1
55	6
54	4
53	4
52	1
51	1
50	2
49	11
48	1
47	10
46	2
45	21
44	2
43	1
42	3
41	1
40	5
39	5
38	1
37	3
36	6
35	1
34	7
33	5
32	8
31	2
30	1
29	4
28	1
27	3
26	20
25	2
24	7
23	1
22	2
21	2
20	4
19	3
18	1
17	4
16	8
15	6
14	1
13	20
12	1
11	1
10	1
9	5
8	1
7	2
6	1
5	1
4	2
3	3
2	2
1	1
0	0
