199	674926
198	668140
197	661409
196	654727
195	648028
194	641489
193	634876
192	628258
191	621794
190	615274
189	608800
188	602414
187	596026
186	589690
185	583310
184	577087
183	570784
182	564605
181	558427
180	552283
179	546224
178	540076
177	534031
176	528026
175	522052
174	516115
173	510194
172	504322
171	498490
170	492680
169	486898
168	481096
167	475502
166	469870
165	464131
164	458603
163	452947
162	447418
161	441938
160	436429
159	431029
158	425636
157	420346
156	414958
155	409700
154	404395
153	399133
152	394022
151	388798
150	383662
149	378569
148	373558
147	368542
146	363497
145	358591
144	353662
143	348755
142	343888
141	339091
140	334316
139	329542
138	324832
137	320177
136	315448
135	310858
134	306275
133	301699
132	297214
131	292751
130	288271
129	283819
128	279491
127	275137
126	270814
125	266588
124	262345
123	258121
122	253889
121	249763
120	245656
119	241622
118	237601
117	233605
116	229604
115	225691
114	221803
113	217919
112	214096
111	210298
110	206561
109	202777
108	199051
107	195452
106	191806
105	188197
104	184643
103	181078
102	177571
101	174116
100	170692
99	167296
98	163958
97	160639
96	157369
95	154097
94	150856
93	147679
92	144536
91	141445
90	138331
89	135284
88	132256
87	129289
86	126323
85	123433
84	120514
83	117650
82	114868
81	112075
80	109346
79	106630
78	103951
77	101306
76	98671
75	96103
74	93608
73	91066
72	88606
71	86150
70	83776
69	81397
68	79049
67	76768
66	74467
65	72215
64	70006
63	67858
62	65723
61	63688
60	61582
59	59540
58	57535
57	55585
56	53627
55	51763
54	49879
53	48113
52	46285
51	44524
50	42803
49	41110
48	39448
47	37814
46	36196
45	34708
44	33170
43	31684
42	30205
41	28823
40	27433
39	26059
38	24758
37	23479
36	22207
35	20993
34	19837
33	18691
32	17561
31	16492
30	15436
29	14432
28	13462
27	12505
26	11624
25	10726
24	9901
23	9089
22	8317
21	7579
20	6872
19	6208
18	5596
17	4985
16	4420
15	3865
14	3374
13	2920
12	2479
11	2090
10	1741
9	1399
8	1109
7	853
6	625
5	437
4	274
3	148
2	65
1	13
0	1
